Timestamp,Value (kW)
10-Feb-21 12:00:00 PM CET,6483
10-Feb-21 12:15:00 PM CET,6479
10-Feb-21 12:30:01 PM CET,6486
10-Feb-21 12:45:00 PM CET,6478
10-Feb-21 1:00:00 PM CET,6477
10-Feb-21 1:15:00 PM CET,6479
10-Feb-21 1:30:01 PM CET,6479
10-Feb-21 1:45:00 PM CET,6479
10-Feb-21 2:00:00 PM CET,6488
10-Feb-21 2:15:00 PM CET,6484
10-Feb-21 2:30:00 PM CET,6489
10-Feb-21 2:45:00 PM CET,6484
10-Feb-21 3:00:00 PM CET,6488
10-Feb-21 3:15:00 PM CET,6484
10-Feb-21 3:30:00 PM CET,6494
10-Feb-21 3:45:00 PM CET,6486
10-Feb-21 4:00:00 PM CET,6494
10-Feb-21 4:15:00 PM CET,6497
10-Feb-21 4:30:00 PM CET,6491
10-Feb-21 4:45:01 PM CET,6498
10-Feb-21 5:00:00 PM CET,6496
10-Feb-21 5:15:00 PM CET,6493
10-Feb-21 5:30:00 PM CET,6497
10-Feb-21 5:45:00 PM CET,6499
10-Feb-21 6:00:01 PM CET,6498
10-Feb-21 6:15:00 PM CET,6502
10-Feb-21 6:30:00 PM CET,6503
10-Feb-21 6:45:00 PM CET,6504
10-Feb-21 7:00:00 PM CET,6501
10-Feb-21 7:15:00 PM CET,6502
10-Feb-21 7:30:00 PM CET,6502
10-Feb-21 7:45:00 PM CET,6510
10-Feb-21 8:00:00 PM CET,6498
10-Feb-21 8:15:00 PM CET,6512
10-Feb-21 8:30:00 PM CET,6519
10-Feb-21 8:45:00 PM CET,6520
10-Feb-21 9:00:00 PM CET,6520
10-Feb-21 9:15:01 PM CET,6521
10-Feb-21 9:30:01 PM CET,6521
10-Feb-21 9:45:00 PM CET,6524
10-Feb-21 10:00:00 PM CET,6518
10-Feb-21 10:15:00 PM CET,6516
10-Feb-21 10:30:00 PM CET,6517
10-Feb-21 10:45:00 PM CET,6524
10-Feb-21 11:00:00 PM CET,6521
